OBJECTID,JURISDICTION,OWNERSHIP,MUNICIPALITY,NAME,FROM_,TO_,CLASS,CLASS_OP,DES_SURF_WIDTH,Shape_Length
9799,LOCAL,OSHAWA,OSHAWA,GREENHILL AVE,CLEARBROOK DR,JACK GLENN ST,C/R,COL,,86.5739229615158
9800,LOCAL,OSHAWA,OSHAWA,BEAUFORT CT,SOUTH LIMIT,CONIFER CT,L/R,L,,157.355793238885
9801,LOCAL,OSHAWA,OSHAWA,EXETER ST,CARNABY CT,WILLIAM BOOTH CRES,L/R,L,,89.0688859485933
9802,LOCAL,OSHAWA,OSHAWA,BELVEDERE AVE,THORNCLIFFE ST,ATHABASCA ST,L/R,L,,81.0598915578744
9803,LOCAL,OSHAWA,OSHAWA,BLUE HERON DR,CARDINAL CT,ADELAIDE AVE E,L/R,L,,290.915797144415
9804,LOCAL,OSHAWA,OSHAWA,BRITANNIA AVE E,STEEPLECHASE ST,BRIDLE RD (ROUNDABOUT),ART,C,,275.222016595317
9805,LOCAL,OSHAWA,OSHAWA,BRIDLE RD,465 m S OF WINCHESTER,WINCHESTER RD E,300,C,,465.013027023113
9806,LOCAL,OSHAWA,OSHAWA,CARTIER AVE,CABOT ST,DURHAM ST,L/R,L,,151.250074067467
9807,LOCAL,OSHAWA,OSHAWA,SARCEE ST,SENECA AVE,IROQUOIS AVE,L/R,L,,86.1652109254172
9808,LOCAL,OSHAWA,OSHAWA,GOODMAN DR,AMBER AVE,WAVERLY ST N,L/R,L,,259.675037791122
9809,LOCAL,OSHAWA,OSHAWA,RIDGEMOUNT BLVD,GRANDVIEW ST N,LIVEOAK ST,L/R,L,,92.9195156445899
9810,LOCAL,OSHAWA,OSHAWA,LAWLOR AVE,ST PATRICK ST,WILSON RD N,L/R,L,,201.553200543634
9811,LOCAL,OSHAWA,OSHAWA,SHERBROOK DR,SHERBROOK CT/WHITESTONE DR,WHITESTONE DR,L/R,L,,343.963129353929
9812,LOCAL,OSHAWA,OSHAWA,WHITESTONE DR,SHERBROOK CT/SHERBROOK DR,SHERBROOK DR,L/R,L,,291.870332129292
9813,LOCAL,OSHAWA,OSHAWA,WADEBRIDGE CRES,ALDERSHOT DR,ALDERSHOT DR,L/R,L,,265.698751214019
9814,LOCAL,OSHAWA,OSHAWA,BESSBOROUGH DR,SOUTH LIMIT,JONES AVE,L/R,L,,189.435302924275
9815,LOCAL,OSHAWA,OSHAWA,STONE ST,LAKEMOUNT ST,OXFORD ST,L/R,L,,85.1998792229354
9816,LOCAL,OSHAWA,OSHAWA,STONE ST,OXFORD ST,EVANGELINE DR,L/R,L,,62.1870445652371
9817,LOCAL,OSHAWA,OSHAWA,THOMAS ST,RAVINE RD,SIMCOE ST S,L/R,L,,261.579590429052
9818,LOCAL,OSHAWA,OSHAWA,THORNTON RD N,TAUNTON RD W,CONLIN RD W,700,B,,2006.13102071772
9819,LOCAL,OSHAWA,OSHAWA,THORNTON RD N,ROSELAWN AVE,WINCHESTER RD W,600,B,,1301.84990237417
9820,LOCAL,OSHAWA,OSHAWA,THORNTON RD N,WINCHESTER RD W,COLUMBUS RD W,500,B,,1869.30880710571
